ID,Lista,ETAPA1_G1t,ETAPA1_G6t,ETAPA2_G1t,ETAPA2_G6t,ETAPA3_G1t,ETAPA3_G6t,ETAPA4_G1t,ETAPA4_G6t,ID,Uniprot,PFAM,PFAMdescription,BP,BPdescription,MF,MFdescription,CC,CCdescription
TRINITY_DN8061_c0_g2_i1,TRINITY_DN8061_c0_g2_i1,71,47.416,38.021,24.014,14,131,492,38,TRINITY_DN8061_c0_g2_i1,CRF4_ARATH,PF00847.21,AP2 domain   ,|0006355|0009873|0006952,|regulation of transcription DNA-templated|ethylene-activated signaling pathway|defense response,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN11094_c0_g2_i3,TRINITY_DN11094_c0_g2_i3,129.773,99.007,156.635,59.009,0,223.961,0,11.386,TRINITY_DN11094_c0_g2_i3,AB11B_ARATH,PF00005.28,ABC transporter   ,|0055085|0060919|0010315,|transmembrane transport|auxin influx|auxin efflux,|0042626|0005524|0010328|0010329|0046983|0003677|0046872,|ATPase-coupled transmembrane transporter activity|ATP binding|auxin influx transmembrane transporter activity|auxin efflux transmembrane transporter activity|protein dimerization activity|DNA binding|metal ion binding,|0016021|0031226|0005774|0005829|0005634,|integral component of membrane|intrinsic component of plasma membrane|vacuolar membrane|cytosol|nucleus
TRINITY_DN42_c0_g1_i7,TRINITY_DN42_c0_g1_i7,230.501,145.144,284.943,302.24,413.202,769.963,283.628,378.106,TRINITY_DN42_c0_g1_i7,ARFC_ARATH,PF06507.14,Auxin response factor  ,|0009734|0006355|0010050|0010158|0010582|1902584,|auxin-activated signaling pathway|regulation of transcription DNA-templated|vegetative phase change|abaxial cell fate specification|floral meristem determinacy|positive regulation of response to water deprivation,|0003677|0003700,|DNA binding|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN5492_c0_g1_i1,TRINITY_DN5492_c0_g1_i1,71,59.612,117,41.005,28,109,1416.003,2,TRINITY_DN5492_c0_g1_i1,ERF4_TOBAC,PF00847.21,AP2 domain   ,|0006355|0006952|0009873,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN2915_c0_g1_i1,TRINITY_DN2915_c0_g1_i1,909.151,507.469,759.291,283.114,201.801,806.49,75.471,171.031,TRINITY_DN2915_c0_g1_i1,ROGF1_ARATH,PF03759.14,PRONE (Plant-specific Rop nucleotide exchanger),|0050790|1904426|0080092|2000012|0009860|0006508,|regulation of catalytic activity|positive regulation of GTP binding|regulation of pollen tube growth|regulation of auxin polar transport|pollen tube growth|proteolysis,|0005085|0004252|0005515,|guanyl-nucleotide exchange factor activity|serine-type endopeptidase activity|protein binding,|0016324|0005829,|apical plasma membrane|cytosol
TRINITY_DN9117_c0_g1_i4,TRINITY_DN9117_c0_g1_i4,146.774,454.352,566.585,633.611,0,0,1101.282,673.037,TRINITY_DN9117_c0_g1_i4,LAX3_MEDTR,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009733|0009755|0055085|0060919|0048829|0010311|0009926,|amino acid transport|response to auxin|hormone-mediated signaling pathway|transmembrane transport|auxin influx|root cap development|lateral root formation|auxin polar transport,|0015293|0010328,|symporter activity|auxin influx transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN13691_c0_g1_i1,TRINITY_DN13691_c0_g1_i1,3,2,9,19,30,36,8,27,TRINITY_DN13691_c0_g1_i1,NAC30_ARATH,PF02365.16,No apical meristem (NAM) protein,|0090059|0048759|0006355|0009741|0009735|0050832|0009737|0071365|0045491|0010628|1903508,|protoxylem development|xylem vessel member cell differentiation|regulation of transcription DNA-templated|response to brassinosteroid|response to cytokinin|defense response to fungus|response to abscisic acid|cellular response to auxin stimulus|xylan metabolic process|positive regulation of gene expression|positive regulation of nucleic acid-templated transcription,|0003677|0001067|0042803|0046982|0003700,|DNA binding|regulatory region nucleic acid binding|protein homodimerization activity|protein heterodimerization activity|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN1793_c0_g1_i1,TRINITY_DN1793_c0_g1_i1,97.084,48.934,39.877,18.954,27.14,104.333,0,6.707,TRINITY_DN1793_c0_g1_i1,AMY3D_ORYSJ,PF07821.13,Alpha-amylase C-terminal beta-sheet domain ,|0005975|0009739|0009737|0009057|0009451|0006260|0044248,|carbohydrate metabolic process|response to gibberellin|response to abscisic acid|macromolecule catabolic process|RNA modification|DNA replication|cellular catabolic process,|0004556|0103025|0005509|0003723,|alpha-amylase activity|alpha-amylase activity (releasing maltohexaose)|calcium ion binding|RNA binding,|0048046|0016021|0043231|0005737,|apoplast|integral component of membrane|intracellular membrane-bounded organelle|cytoplasm
TRINITY_DN13008_c0_g1_i7,TRINITY_DN13008_c0_g1_i7,19.972,25.915,0,17.336,0,41.867,0,0,TRINITY_DN13008_c0_g1_i7,MB3R2_ORYSJ,PF00249.32,Myb-like DNA-binding domain  ,|0006357|1901002|1902584|0009751|0009409|0009723|0008285|0045893|0045892,|regulation of transcription by RNA polymerase II|positive regulation of response to salt stress|positive regulation of response to water deprivation|response to salicylic acid|response to cold|response to ethylene|negative regulation of cell population proliferation|positive regulation of transcription DNA-templated|negative regulation of transcription DNA-templated,|0000978|0000981,|RNA polymerase II cis-regulatory region sequence-specific DNA binding|DNA-binding transcription factor activity RNA polymerase II-specific,|0005634,|nucleus
TRINITY_DN4712_c0_g2_i1,TRINITY_DN4712_c0_g2_i1,294,221.011,228,124,137,445.127,7,57,TRINITY_DN4712_c0_g2_i1,XLG3_ARATH,PF00503.21,G-protein alpha subunit  ,|0007186|2000280|0009723|0009617,|G protein-coupled receptor signaling pathway|regulation of root development|response to ethylene|response to bacterium,|0031683|0003924|0019001|0001664|0046872|0032550|0035639|0032555,|G-protein beta/gamma-subunit complex binding|GTPase activity|guanyl nucleotide binding|G protein-coupled receptor binding|metal ion binding|purine ribonucleoside binding|purine ribonucleoside triphosphate binding|purine ribonucleotide binding,|0005834|0005634,|heterotrimeric G-protein complex|nucleus
TRINITY_DN11730_c0_g1_i11,TRINITY_DN11730_c0_g1_i11,626.087,299.068,251.462,238.42,161.679,282.191,8.792,95.509,TRINITY_DN11730_c0_g1_i11,DIOX5_ARATH,PF02309.17,AUX/IAA family   ,|0009734|0006355,|auxin-activated signaling pathway|regulation of transcription DNA-templated,|0042802|0003700,|identical protein binding|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN3298_c0_g1_i10,TRINITY_DN3298_c0_g1_i10,97.414,59.059,35.347,16.973,25.204,164.67,0,8,TRINITY_DN3298_c0_g1_i10,RBK1_ARATH,PF00069.26,Protein kinase domain  ,|0006468|0071369|0050832|0018212|0090502,|protein phosphorylation|cellular response to ethylene stimulus|defense response to fungus|peptidyl-tyrosine modification|RNA phosphodiester bond hydrolysis endonucleolytic,|0004672|0005524|0051020|0004523|0003676,|protein kinase activity|ATP binding|GTPase binding|RNA-DNA hybrid ribonuclease activity|nucleic acid binding,|0005829|0012505|0005634|0016020,|cytosol|endomembrane system|nucleus|membrane
TRINITY_DN6192_c0_g1_i4,TRINITY_DN6192_c0_g1_i4,25.611,19.746,3.397,6.02,8.018,36.457,0,0,TRINITY_DN6192_c0_g1_i4,PILS1_ARATH,PF03547.19,Membrane transport protein  ,|0009734|0055085,|auxin-activated signaling pathway|transmembrane transport,.,.,|0016021,|integral component of membrane
TRINITY_DN1820_c0_g1_i5,TRINITY_DN1820_c0_g1_i5,51.989,40.465,45.819,18.022,35.762,89.463,0,3.931,TRINITY_DN1820_c0_g1_i5,FBL15_ARATH,PF12799.8,Leucine Rich repeats (2 copies),|0010252|1905393|0031146,|auxin homeostasis|plant organ formation|SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,.,.,|0019005|0016021,|SCF ubiquitin ligase complex|integral component of membrane
TRINITY_DN13436_c0_g1_i1,TRINITY_DN13436_c0_g1_i1,5,14,20,8,21.057,20,39,34,TRINITY_DN13436_c0_g1_i1,Y1680_ARATH,PF07714.18,Protein tyrosine and serine/threonine kinase,|0006468|0000186|0000165|0018212|0009625|0009793|0006970|0009733|0006486,|protein phosphorylation|activation of MAPKK activity|MAPK cascade|peptidyl-tyrosine modification|response to insect|embryo development ending in seed dormancy|response to osmotic stress|response to auxin|protein glycosylation,|0004672|0005524|0004888|0005516,|protein kinase activity|ATP binding|transmembrane signaling receptor activity|calmodulin binding,|0016021|0000139,|integral component of membrane|Golgi membrane
TRINITY_DN12471_c0_g1_i5,TRINITY_DN12471_c0_g1_i5,167.367,77.254,104.605,182.335,183.115,405.851,364.385,175.785,TRINITY_DN12471_c0_g1_i5,HACDA_ORYSJ,PF04387.15,Protein tyrosine phosphatase-like protein,|0006633|0000038|0030148|0050732|0048640|0051302|0030154|0018344|0009414|0009737|0009733|0018215,|fatty acid biosynthetic process|very long-chain fatty acid metabolic process|sphingolipid biosynthetic process|negative regulation of peptidyl-tyrosine phosphorylation|negative regulation of developmental growth|regulation of cell division|cell differentiation|protein geranylgeranylation|response to water deprivation|response to abscisic acid|response to auxin|protein phosphopantetheinylation,|0102158|0102343|0102344|0102345|0018812|0004659|0140096,|very-long-chain 3-hydroxyacyl-CoA dehydratase activity|3-hydroxy-arachidoyl-CoA dehydratase activity|3-hydroxy-behenoyl-CoA dehydratase activity|3-hydroxy-lignoceroyl-CoA dehydratase activity|3-hydroxyacyl-CoA dehydratase activity|prenyltransferase activity|catalytic activity acting on a protein,|0005789|0031301|0005829|0005953|0005634,|endoplasmic reticulum membrane|integral component of organelle membrane|cytosol|CAAX-protein geranylgeranyltransferase complex|nucleus
TRINITY_DN6658_c0_g1_i3,TRINITY_DN6658_c0_g1_i3,436.14,170.039,200.028,65.832,216.915,497.179,6.78,60.559,TRINITY_DN6658_c0_g1_i3,BBRD_ORYSJ,PF06217.13,GAGA binding protein-like family ,|0009723|0006355,|response to ethylene|regulation of transcription DNA-templated,|0043565|0003700,|sequence-specific DNA binding|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN7617_c0_g1_i6,TRINITY_DN7617_c0_g1_i6,34.114,13.826,43.723,20.538,34.305,48.667,0,0,TRINITY_DN7617_c0_g1_i6,EGY1_ARATH,PF02163.23,Peptidase family M50  ,|0006508|0043157|0060359|0048564|0010027|0009959|0010207|0009723|0009658|0009416|0007275|0015074,|proteolysis|response to cation stress|response to ammonium ion|photosystem I assembly|thylakoid membrane organization|negative gravitropism|photosystem II assembly|response to ethylene|chloroplast organization|response to light stimulus|multicellular organism development|DNA integration,|0008237|0004175|0003676,|metallopeptidase activity|endopeptidase activity|nucleic acid binding,|0016021|0031969,|integral component of membrane|chloroplast membrane
TRINITY_DN9117_c0_g1_i25,TRINITY_DN9117_c0_g1_i25,8.365,11.398,17.556,19.408,57.214,47.8,25.138,37.275,TRINITY_DN9117_c0_g1_i25,LAX3_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009733|0009755|0055085|0060919|0048829|0010311|0009926,|amino acid transport|response to auxin|hormone-mediated signaling pathway|transmembrane transport|auxin influx|root cap development|lateral root formation|auxin polar transport,|0015293|0010328,|symporter activity|auxin influx transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN1624_c1_g1_i1,TRINITY_DN1624_c1_g1_i1,150.529,117.873,171.923,91.594,372.308,532.224,241.551,229.999,TRINITY_DN1624_c1_g1_i1,TCP8_ARATH,PF03634.14,TCP family transcription factor ,|0006355|0080086|0031540|0010229|0010252|0048467|0042023|0009735|0007623|0051301,|regulation of transcription DNA-templated|stamen filament development|regulation of anthocyanin biosynthetic process|inflorescence development|auxin homeostasis|gynoecium development|DNA endoreduplication|response to cytokinin|circadian rhythm|cell division,|0003700|0043565|0005515,|DNA-binding transcription factor activity|sequence-specific DNA binding|protein binding,|0005634,|nucleus
TRINITY_DN472_c1_g1_i5,TRINITY_DN472_c1_g1_i5,15.086,161.041,72.087,95.202,136.36,48.456,340.067,419.276,TRINITY_DN472_c1_g1_i5,TBB1_MAIZE,PF00091.26,Tubulin/FtsZ family,|0007017|0007010|0000278|0090378|0070542|0009741|0048366|0009739,|microtubule-based process|cytoskeleton organization|mitotic cell cycle|seed trichome elongation|response to fatty acid|response to brassinosteroid|leaf development|response to gibberellin,|0005200|0003924|0005525|0016757|0008757,|structural constituent of cytoskeleton|GTPase activity|GTP binding|transferase activity transferring glycosyl groups|S-adenosylmethionine-dependent methyltransferase activity,|0005874|0005737|0016021,|microtubule|cytoplasm|integral component of membrane
TRINITY_DN711_c0_g1_i4,TRINITY_DN711_c0_g1_i4,663.095,1906.487,994.742,513.892,291.439,997.004,136.651,220.576,TRINITY_DN711_c0_g1_i4,VPE_CITSI,PF01650.19,Peptidase C13 family  ,|0051603|0006624|0010150|0009751|0009753|0009723|0009611,|proteolysis involved in cellular protein catabolic process|vacuolar protein processing|leaf senescence|response to salicylic acid|response to jasmonic acid|response to ethylene|response to wounding,|0004197,|cysteine-type endopeptidase activity,|0005773,|vacuole
TRINITY_DN3855_c0_g1_i1,TRINITY_DN3855_c0_g1_i1,29.281,16.431,7.281,19.288,0,25.073,0,0,TRINITY_DN3855_c0_g1_i1,ELP3_ORYSJ,PF16199.6,Radical_SAM C-terminal domain  ,|0002926|2000025|0090708|0010928|0035265|0009294|0051301|0009734,|tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation|regulation of leaf formation|specification of plant organ axis polarity|regulation of auxin mediated signaling pathway|organ growth|DNA mediated transformation|cell division|auxin-activated signaling pathway,|0000049|0008080|0051539|0046872,|tRNA binding|N-acetyltransferase activity|4 iron 4 sulfur cluster binding|metal ion binding,|0033588|0000791|0005634|0005829|0016021,|elongator holoenzyme complex|euchromatin|nucleus|cytosol|integral component of membrane
TRINITY_DN15015_c0_g1_i3,TRINITY_DN15015_c0_g1_i3,38.629,14.127,23.979,15,4,39.685,0,1,TRINITY_DN15015_c0_g1_i3,GRF1_ORYSJ,PF08879.11,WRC    ,|0032502|0006351|0006355|0008283|1903508|0022414|0032501|0030912|0009739,|developmental process|transcription DNA-templated|regulation of transcription DNA-templated|cell population proliferation|positive regulation of nucleic acid-templated transcription|reproductive process|multicellular organismal process|response to deep water|response to gibberellin,|0005524|0005515,|ATP binding|protein binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN669_c0_g1_i2,TRINITY_DN669_c0_g1_i2,0,21.891,117.247,59.97,203.574,0,64.092,179.884,TRINITY_DN669_c0_g1_i2,EIL1B_ORYSJ,PF04873.14,Ethylene insensitive 3  ,|0009873|0006355,|ethylene-activated signaling pathway|regulation of transcription DNA-templated,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN722_c0_g1_i17,TRINITY_DN722_c0_g1_i17,30.431,15.45,0,28.069,18.383,34.698,0,0,TRINITY_DN722_c0_g1_i17,.,PF13424.7,Tetratricopeptide repeat   ,|1901703|0010073,|protein localization involved in auxin polar transport|meristem maintenance,.,.,|0005739|0005871|0005874,|mitochondrion|kinesin complex|microtubule
TRINITY_DN5202_c0_g1_i32,TRINITY_DN5202_c0_g1_i32,0,5.166,44.644,0,0,78.317,15.547,44.47,TRINITY_DN5202_c0_g1_i32,GAT1_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|0055085|0046942,|amino acid transport|auxin-activated signaling pathway|transmembrane transport|carboxylic acid transport,|0015293|0015185,|symporter activity|gamma-aminobutyric acid transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN5681_c0_g1_i1,TRINITY_DN5681_c0_g1_i1,13.253,30.031,88.638,0,0,56.163,0,0,TRINITY_DN5681_c0_g1_i1,AAP2_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|0055085|0006865|0009734|0055085|0110126|0006952,|amino acid transport|auxin-activated signaling pathway|transmembrane transport|amino acid transport|auxin-activated signaling pathway|transmembrane transport|phloem loading|defense response,|0015293|0015293,|symporter activity|symporter activity,|0005886|0016021|0016021|0005886,|plasma membrane|integral component of membrane|integral component of membrane|plasma membrane
TRINITY_DN13068_c0_g1_i6,TRINITY_DN13068_c0_g1_i6,20.971,75.493,20.488,6.082,0,29.5,0,4.286,TRINITY_DN13068_c0_g1_i6,RGLG2_ARATH,PF13920.7,Zinc finger,|0080148|0009850|0009690|0016567,|negative regulation of response to water deprivation|auxin metabolic process|cytokinin metabolic process|protein ubiquitination,|0004842,|ubiquitin-protein transferase activity,|0016021|0005634|0005886,|integral component of membrane|nucleus|plasma membrane
TRINITY_DN14765_c0_g1_i7,TRINITY_DN14765_c0_g1_i7,236.711,131.535,141.835,70.023,71.011,169.548,18.477,41.36,TRINITY_DN14765_c0_g1_i7,ISS1_ARATH,PF00155.22,Aminotransferase class I and II,|0009058|1901996|0090356|0051013|0010366|0009641|0045763|0032353|0010252|0009850|0009698|0006570|0006558|0006569|0006555|0009058,|biosynthetic process|regulation of indoleacetic acid biosynthetic process via tryptophan|negative regulation of auxin metabolic process|microtubule severing|negative regulation of ethylene biosynthetic process|shade avoidance|negative regulation of cellular amino acid metabolic process|negative regulation of hormone biosynthetic process|auxin homeostasis|auxin metabolic process|phenylpropanoid metabolic process|tyrosine metabolic process|L-phenylalanine metabolic process|tryptophan catabolic process|methionine metabolic process|biosynthetic process,|0008483|0030170|0008568|0016853|0030170|0016740,|transaminase activity|pyridoxal phosphate binding|microtubule-severing ATPase activity|isomerase activity|pyridoxal phosphate binding|transferase activity,|0005829,|cytosol
TRINITY_DN23851_c0_g1_i13,TRINITY_DN23851_c0_g1_i13,85.21,34.13,88.695,0,0,53.121,4.095,6.02,TRINITY_DN23851_c0_g1_i13,MOCOS_ORYSJ,PF03476.17,MOSC N-terminal beta barrel domain,|0006777|0018315|0043289|0010118|0009687|0045037|0010182|0016106|0009749|0120255|1902645|0009651|0009409|0009734|0042742|0009408|0072330|0006777|0006730,|Mo-molybdopterin cofactor biosynthetic process|molybdenum incorporation into molybdenum-molybdopterin complex|apocarotenoid biosynthetic process|stomatal movement|abscisic acid metabolic process|protein import into chloroplast stroma|sugar mediated signaling pathway|sesquiterpenoid biosynthetic process|response to glucose|olefinic compound biosynthetic process|tertiary alcohol biosynthetic process|response to salt stress|response to cold|auxin-activated signaling pathway|defense response to bacterium|response to heat|monocarboxylic acid biosynthetic process|Mo-molybdopterin cofactor biosynthetic process|one-carbon metabolic process,|0008265|0102867|0030151|0030170|0016829|0008483|0003677|0008265|0102867|0030151|0030170|0016829|0008483,|Mo-molybdopterin cofactor sulfurase activity|molybdenum cofactor sulfurtransferase activity|molybdenum ion binding|pyridoxal phosphate binding|lyase activity|transaminase activity|DNA binding|Mo-molybdopterin cofactor sulfurase activity|molybdenum cofactor sulfurtransferase activity|molybdenum ion binding|pyridoxal phosphate binding|lyase activity|transaminase activity,|0016021|0016021,|integral component of membrane|integral component of membrane
TRINITY_DN2197_c0_g1_i9,TRINITY_DN2197_c0_g1_i9,52.629,45.031,13.59,30.244,19.614,45.535,2.58,6.112,TRINITY_DN2197_c0_g1_i9,PGTB1_ARATH,PF00432.22,Prenyltransferase and squalene oxidase repeat,|0018344|0018215|0009414|0009737|0009733|0009788,|protein geranylgeranylation|protein phosphopantetheinylation|response to water deprivation|response to abscisic acid|response to auxin|negative regulation of abscisic acid-activated signaling pathway,|0004662|0046872,|CAAX-protein geranylgeranyltransferase activity|metal ion binding,|0005953|0016021,|CAAX-protein geranylgeranyltransferase complex|integral component of membrane
TRINITY_DN225_c0_g1_i11,TRINITY_DN225_c0_g1_i11,14.44,28.131,0,9.338,22.444,35.023,0,0,TRINITY_DN225_c0_g1_i11,ARFL_ORYSJ,PF02309.17,AUX/IAA family   ,|0009734|0006355|0009908|0009734|0006355|0009908,|auxin-activated signaling pathway|regulation of transcription DNA-templated|flower development|auxin-activated signaling pathway|regulation of transcription DNA-templated|flower development,|0003677|0016787|0003677,|DNA binding|hydrolase activity|DNA binding,|0005634|0016021|0005634|0016021,|nucleus|integral component of membrane|nucleus|integral component of membrane
TRINITY_DN6211_c0_g1_i3,TRINITY_DN6211_c0_g1_i3,54.343,137.267,143.337,52.646,40.488,188.636,8.862,9.42,TRINITY_DN6211_c0_g1_i3,WDR26_ARATH,PF00400.33,WD domain,|0009723|0009737|0006970|0009733|0009416,|response to ethylene|response to abscisic acid|response to osmotic stress|response to auxin|response to light stimulus,.,.,|0005634|0005737,|nucleus|cytoplasm
TRINITY_DN7402_c0_g1_i3,TRINITY_DN7402_c0_g1_i3,703.005,295.087,523.867,241.464,355.938,1595.918,65,89.499,TRINITY_DN7402_c0_g1_i3,ARFA_ARATH,PF06507.14,Auxin response factor  ,|0009734|0006355|0010047|1903288|0009911|0048481|0010227|0010150|0009737|0008285|1903507|2000113,|auxin-activated signaling pathway|regulation of transcription DNA-templated|fruit dehiscence|positive regulation of potassium ion import across plasma membrane|positive regulation of flower development|plant ovule development|floral organ abscission|leaf senescence|response to abscisic acid|negative regulation of cell population proliferation|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process,|0003677|0003700,|DNA binding|DNA-binding transcription factor activity,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN8281_c0_g1_i4,TRINITY_DN8281_c0_g1_i4,52.257,32.485,47.433,43.816,30.268,49.925,82.91,82.022,TRINITY_DN8281_c0_g1_i4,MOC2A_MAIZE,PF02597.21,ThiS family   ,|0006777|0018315|0009734|0000712|0043086|0018108|0030001,|Mo-molybdopterin cofactor biosynthetic process|molybdenum incorporation into molybdenum-molybdopterin complex|auxin-activated signaling pathway|resolution of meiotic recombination intermediates|negative regulation of catalytic activity|peptidyl-tyrosine phosphorylation|metal ion transport,|0030366|0000166|0004857|0004713|0043167|0097367,|molybdopterin synthase activity|nucleotide binding|enzyme inhibitor activity|protein tyrosine kinase activity|ion binding|carbohydrate derivative binding,|0019008|0005829|0009536|0016021,|molybdopterin synthase complex|cytosol|plastid|integral component of membrane
TRINITY_DN1625_c0_g1_i17,TRINITY_DN1625_c0_g1_i17,31.968,64.729,85.599,101.891,143.189,273.047,86.844,136.006,TRINITY_DN1625_c0_g1_i17,ARFI_ARATH,PF06507.14,Auxin response factor  ,|0009734|0006355,|auxin-activated signaling pathway|regulation of transcription DNA-templated,|0003677|0001067|0042802|0003700,|DNA binding|regulatory region nucleic acid binding|identical protein binding|DNA-binding transcription factor activity,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN5709_c0_g1_i4,TRINITY_DN5709_c0_g1_i4,188.026,46.409,186.242,16.883,69.638,139.509,0,11.773,TRINITY_DN5709_c0_g1_i4,HAT1_ARATH,PF04618.13,HD-ZIP protein N terminus ,|0006357|0080191|0009641|0010218|0010311|0009585|0009826|0009735|0010016|0009733|0045892,|regulation of transcription by RNA polymerase II|secondary thickening|shade avoidance|response to far red light|lateral root formation|red far-red light phototransduction|unidimensional cell growth|response to cytokinin|shoot system morphogenesis|response to auxin|negative regulation of transcription DNA-templated,|0000981|0043565|0042803,|DNA-binding transcription factor activity RNA polymerase II-specific|sequence-specific DNA binding|protein homodimerization activity,|0005634,|nucleus
TRINITY_DN13732_c0_g1_i3,TRINITY_DN13732_c0_g1_i3,23.751,16.538,0,15.986,29.951,62.447,0,0,TRINITY_DN13732_c0_g1_i3,ALA4_ARATH,PF16212.6,Phospholipid-translocating P-type ATPase C-terminal ,|0034204|0015914|1901703|0009860|1905038,|lipid translocation|phospholipid transport|protein localization involved in auxin polar transport|pollen tube growth|regulation of membrane lipid metabolic process,|0140326|0000287|0005524,|ATPase-coupled intramembrane lipid transporter activity|magnesium ion binding|ATP binding,|0016021|0005886|0012505|0043231|0005737,|integral component of membrane|plasma membrane|endomembrane system|intracellular membrane-bounded organelle|cytoplasm
TRINITY_DN10256_c0_g1_i1,TRINITY_DN10256_c0_g1_i1,182.103,192.197,289.607,64,8,101,11,0,TRINITY_DN10256_c0_g1_i1,EF113_ARATH,PF00847.21,AP2 domain   ,|0006355|0006952|0009873,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN8189_c0_g1_i3,TRINITY_DN8189_c0_g1_i3,18.192,22.444,27.85,5.461,13.723,15.981,0,0,TRINITY_DN8189_c0_g1_i3,GRF5_ORYSJ,PF08879.11,WRC    ,|0032502|0006351|0006355|0008283|1903508|0022414|0032501|0009739|0009409,|developmental process|transcription DNA-templated|regulation of transcription DNA-templated|cell population proliferation|positive regulation of nucleic acid-templated transcription|reproductive process|multicellular organismal process|response to gibberellin|response to cold,|0005524|0005515,|ATP binding|protein binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN1820_c0_g1_i1,TRINITY_DN1820_c0_g1_i1,157.614,373.463,386.136,324.325,22.303,502.662,33.302,34.946,TRINITY_DN1820_c0_g1_i1,FBL15_ARATH,PF12799.8,Leucine Rich repeats (2 copies),|0010252|1905393|0031146,|auxin homeostasis|plant organ formation|SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,.,.,|0019005|0016021,|SCF ubiquitin ligase complex|integral component of membrane
TRINITY_DN8189_c0_g1_i1,TRINITY_DN8189_c0_g1_i1,227.822,141.859,264.129,173.646,289.303,1277.07,15,46.889,TRINITY_DN8189_c0_g1_i1,GRF5_ORYSJ,PF08879.11,WRC    ,|0032502|0006351|0006355|0008283|1903508|0022414|0032501|0009739|0009409,|developmental process|transcription DNA-templated|regulation of transcription DNA-templated|cell population proliferation|positive regulation of nucleic acid-templated transcription|reproductive process|multicellular organismal process|response to gibberellin|response to cold,|0005524,|ATP binding,|0005634,|nucleus
TRINITY_DN11612_c0_g1_i1,TRINITY_DN11612_c0_g1_i1,87.002,108,146,110.829,16,177,9,19,TRINITY_DN11612_c0_g1_i1,IAA10_ORYSI,PF02309.17,AUX/IAA family   ,|0009734|0006355,|auxin-activated signaling pathway|regulation of transcription DNA-templated,.,.,|0005634,|nucleus
TRINITY_DN5462_c0_g1_i4,TRINITY_DN5462_c0_g1_i4,37.868,8.183,42.477,0,23.438,119.22,0,0,TRINITY_DN5462_c0_g1_i4,EF118_ARATH,PF00847.21,AP2 domain   ,|0006355|0006952|0009873|0048825|0009736,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway|cotyledon development|cytokinin-activated signaling pathway,|0003700|0003677|0001067|0005515,|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding|protein binding,|0005634|0005737|0016021,|nucleus|cytoplasm|integral component of membrane
TRINITY_DN831_c0_g1_i24,TRINITY_DN831_c0_g1_i24,117.319,43.789,101.327,34.562,388.759,361.627,0,9.322,TRINITY_DN831_c0_g1_i24,LFG4_ARATH,PF05703.12,Auxin canalisation   ,|0010305|0010087|0009734,|leaf vascular tissue pattern formation|phloem or xylem histogenesis|auxin-activated signaling pathway,.,.,|0016021|0016021,|integral component of membrane|integral component of membrane
TRINITY_DN1173_c0_g1_i5,TRINITY_DN1173_c0_g1_i5,550.136,142.594,668.189,391.17,3023.142,5435.929,33.527,269.435,TRINITY_DN1173_c0_g1_i5,IAA6_ORYSJ,PF02309.17,AUX/IAA family   ,|0009734|0006355|0009736|0000160,|auxin-activated signaling pathway|regulation of transcription DNA-templated|cytokinin-activated signaling pathway|phosphorelay signal transduction system,|0016874,|ligase activity,|0005634|0005829|0016021,|nucleus|cytosol|integral component of membrane
